,student_id,student_name,States,Test_center,MATH,SCIENCE,PHYSICS,CHEMISTRY,BIOLOGY,TOTAL,PERCENTAGE
56,10057,Karan Pandit,Bihar,kolkata,52,32,50,34,30,198,39.6
57,10058,Dharmesh Rajput,West Bengal,kolkata,94,96,37,77,75,379,75.8
58,10059,Aaroohi Pratap,Madhya Pradesh,Mumbai,47,84,62,48,64,305,61.0
59,10060,Ranjit Sonkar,Sikkim,Aasam,62,68,67,86,91,374,74.8
60,10061,Hari Mishra,Karnataka,Banglore,70,36,100,81,36,323,64.6
61,10062,Shankar Seth,Chhattisgarh,Hyderabad,36,88,75,63,77,339,67.8
62,10063,Nav Mishra,Sikkim,Aasam,76,35,92,54,41,298,59.6
63,10064,Priya Srivastav,Mizoram,Aasam,49,58,50,91,99,347,69.4
64,10065,Sherya Thakur,Manipur,Aasam,64,97,96,34,93,384,76.8
65,10066,Shantanu Rajput,Rajasthan,Delhi,98,65,55,68,40,326,65.2
66,10067,Ninad Rajput,Madhya Pradesh,Mumbai,93,67,34,31,63,288,57.6
67,10068,Anamika Mishra,Rajasthan,Delhi,49,70,72,81,68,340,68.0
68,10069,Roshni Thakur,Chhattisgarh,Hyderabad,59,49,88,70,84,350,70.0
69,10070,Priyanka Rai,Meghalaya,Aasam,71,96,67,46,77,357,71.4
70,10071,Diljeet Rao,Sikkim,Aasam,97,68,82,58,89,394,78.8
71,10072,Abhijeet Thakur,Meghalaya,Aasam,71,63,77,52,92,355,71.0
72,10073,Murat Vishwakarma,Kerala,Chennai,34,91,32,75,69,301,60.2
73,10074,Karan Divedi,Kerala,Chennai,70,100,57,81,31,339,67.8
74,10075,Shila Maurrya,Rajasthan,Delhi,55,98,61,41,90,345,69.0
75,10076,Hayat Pandey,Maharashtra,Mumbai,68,69,36,31,54,258,51.6
76,10077,Raghvendra Devi,Goa,Banglore,72,35,97,88,49,341,68.2
77,10078,Yashi Rao,Himachal Pradesh,kolkata,65,61,80,78,67,351,70.2
78,10079,Joohi Pandit,Sikkim,Aasam,68,95,99,44,88,394,78.8
79,10080,Sanoj Vishwakarma,Maharashtra,Mumbai,100,86,67,61,87,401,80.2
80,10081,Damini Divedi,Manipur,Aasam,69,94,43,37,61,304,60.8
81,10082,Virat Rao,Nagaland,Aasam,45,42,58,42,60,247,49.4
82,10083,Gopal Rao,Arunachal Pradesh,Aasam,60,89,80,95,80,404,80.8
83,10084,Ruhi Maurrya,Madhya Pradesh,Mumbai,34,97,94,52,30,307,61.4
84,10085,Dharam Thakur,Nagaland,Aasam,58,39,93,99,30,319,63.8
85,10086,Varun Devi,Arunachal Pradesh,Aasam,44,80,50,71,65,310,62.0
86,10087,Aakash Vishwakarma,Uttarakhand,Delhi,72,94,84,51,42,343,68.6
87,10088,Param Yadav,Arunachal Pradesh,Aasam,74,73,98,42,59,346,69.2
88,10089,Aishwarya Yadav,Sikkim,Aasam,94,100,65,70,44,373,74.6
89,10090,Deva Mishra,Mizoram,Aasam,48,64,48,33,38,231,46.2
90,10091,Gagan Kumari,Goa,Banglore,71,74,63,40,53,301,60.2
91,10092,Pragya Singh,Sikkim,Aasam,47,95,40,73,57,312,62.4
92,10093,Priya Rai,Andhra Pradesh,Hyderabad,41,82,63,87,47,320,64.0
93,10094,Mehul Yadav,Punjab,Agra,85,66,60,96,87,394,78.8
94,10095,Ruhi Seth,Uttar Pradesh,Delhi,92,94,80,88,93,447,89.4
95,10096,Priyanshee Rai,Telangana,Aasam,75,87,64,93,81,400,80.0
96,10097,Parul Triphati,Manipur,Aasam,46,83,66,33,35,263,52.6
97,10098,Yogesh Kumari,Tripura,Aasam,53,92,57,73,44,319,63.8
98,10099,Kirti Devi,Madhya Pradesh,Mumbai,34,95,65,92,83,369,73.8
99,10100,Ruhi Yadav,Mizoram,Aasam,86,58,50,46,80,320,64.0
100,10101,Nagaraju Rajput,Meghalaya,Aasam,56,47,71,72,47,293,58.6
101,10102,Shila Rajput,Madhya Pradesh,Mumbai,34,90,38,31,98,291,58.2
102,10103,Savita Divedi,Goa,Banglore,59,98,86,37,99,379,75.8
103,10104,Har Phatak,Gujarat,Agra,99,76,98,98,73,444,88.8
104,10105,Nilam Phatak,Chhattisgarh,Hyderabad,31,100,55,62,76,324,64.8
105,10106,Damini Gupta,Haryana,Delhi,81,89,70,41,76,357,71.4
106,10107,Varun Pandey,Tripura,Aasam,62,42,37,32,55,228,45.6
107,10108,Shalani Pandey,Tamil Nadu,Chennai,49,74,60,83,58,324,64.8
108,10109,Utkarsh Tiwari,Sikkim,Aasam,37,71,56,91,85,340,68.0
109,10110,Siddhesh Srivastav,Madhya Pradesh,Mumbai,31,57,64,69,83,304,60.8
110,10111,Naveen Srivastav,Manipur,Aasam,79,39,32,34,55,239,47.8
111,10112,Ashok Singh,Tripura,Aasam,78,99,93,38,83,391,78.2
112,10113,Param Sonkar,Goa,Banglore,99,65,38,59,77,338,67.6
113,10114,Ayush Rajput,Madhya Pradesh,Mumbai,46,34,67,44,46,237,47.4
114,10115,Jooli Gupta,Uttar Pradesh,Delhi,37,36,99,86,99,357,71.4
115,10116,Abhimanyu Mishra,Andhra Pradesh,Hyderabad,51,100,85,42,99,377,75.4
116,10117,Paridhi Phatak,Maharashtra,Mumbai,68,44,100,81,49,342,68.4
117,10118,Bala Kumari,Tripura,Aasam,85,34,79,47,72,317,63.4
118,10119,Aarav Rai,Mizoram,Aasam,87,45,69,67,42,310,62.0
119,10120,Mony Gupta,Himachal Pradesh,kolkata,74,39,76,67,77,333,66.6
120,10121,Vinay Triphati,Telangana,Aasam,43,57,75,63,64,302,60.4
121,10122,Shubham Vishwakarma,Kerala,Chennai,55,33,82,31,38,239,47.8
122,10123,Parul Seth,Karnataka,Banglore,35,65,86,53,53,292,58.4
123,10124,Ankit Rajput,Mizoram,Aasam,83,54,82,53,41,313,62.6
124,10125,Sachin Thakur,Maharashtra,Mumbai,35,99,81,79,54,348,69.6
125,10126,Paridhi Thakur,Telangana,Aasam,85,49,37,75,97,343,68.6
126,10127,Rohit Devi,Uttar Pradesh,Delhi,38,63,47,49,61,258,51.6
127,10128,Gouri Thakur,Jharkhand,kolkata,62,69,53,82,69,335,67.0
128,10129,Ambika Srivastav,Meghalaya,Aasam,43,36,36,45,62,222,44.4
129,10130,Shivani Srivastav,Gujarat,Agra,36,52,42,86,85,301,60.2
130,10131,Anmol Rai,Bihar,kolkata,98,55,38,95,66,352,70.4
131,10132,Anushka Mishra,Manipur,Aasam,33,48,97,58,83,319,63.8
132,10133,Anjali Thakur,Gujarat,Agra,80,30,58,100,71,339,67.8
133,10134,Rahul Vishwakarma,Tamil Nadu,Chennai,32,80,86,39,79,316,63.2
134,10135,Mihir Thakur,Maharashtra,Mumbai,80,53,62,83,50,328,65.6
135,10136,Sweta Mishra,Odisha,Hyderabad,66,62,36,71,66,301,60.2
136,10137,Ananya Vishwakarma,Manipur,Aasam,31,57,49,40,59,236,47.2
137,10138,Onkar Singh,Haryana,Delhi,39,53,57,52,54,255,51.0
138,10139,Nilam Seth,Haryana,Delhi,79,49,50,61,93,332,66.4
139,10140,Gouri Vishwakarma,Tripura,Aasam,83,69,66,100,95,413,82.6
140,10141,Shyama Vishwakarma,Madhya Pradesh,Mumbai,41,46,86,50,51,274,54.8
141,10142,Samraat Pratap,Meghalaya,Aasam,42,41,73,98,79,333,66.6
142,10143,Dev Srivastav,Madhya Pradesh,Mumbai,77,63,42,52,59,293,58.6
143,10144,Ankit Mishra,Sikkim,Aasam,78,78,63,46,38,303,60.6
144,10145,Roshni Rajput,Karnataka,Banglore,88,68,93,34,72,355,71.0
145,10146,Abhijeet Seth,Maharashtra,Mumbai,42,63,30,31,35,201,40.2
146,10147,Shivam Seth,Odisha,Hyderabad,96,38,36,64,85,319,63.8
147,10148,Nikita Divedi,Meghalaya,Aasam,42,56,72,33,55,258,51.6
148,10149,Dipendra Triphati,Tamil Nadu,Chennai,38,72,92,74,35,311,62.2
149,10150,Prajwal Yadav,Odisha,Hyderabad,55,40,99,97,86,377,75.4
150,10151,Devansh Yadav,Bihar,kolkata,35,72,51,36,82,276,55.2
151,10152,Naveen Singh,Mizoram,Aasam,57,46,79,69,69,320,64.0
152,10153,Seeta Singh,Madhya Pradesh,Mumbai,77,67,31,76,75,326,65.2
153,10154,Bala Tiwari,Tripura,Aasam,61,86,90,89,49,375,75.0
154,10155,Kirti Srivastav,Bihar,kolkata,33,61,33,41,82,250,50.0
155,10156,Nav Rai,Odisha,Hyderabad,75,98,80,81,80,414,82.8
156,10157,Kishan Vishwakarma,Goa,Banglore,45,62,89,91,75,362,72.4
157,10158,Dharam Mishra,Andhra Pradesh,Hyderabad,97,87,30,68,69,351,70.2
158,10159,Gagan Mishra,Kerala,Chennai,49,46,49,44,67,255,51.0
159,10160,Bal Maurrya,West Bengal,kolkata,90,73,99,91,79,432,86.4
160,10161,Vivek Maurrya,Bihar,kolkata,94,42,94,56,93,379,75.8
161,10162,Annu Rai,Punjab,Agra,54,78,89,49,98,368,73.6
162,10163,Aaroohi Kumar,Himachal Pradesh,kolkata,50,33,61,46,70,260,52.0
163,10164,Ravindra Pandey,Madhya Pradesh,Mumbai,81,43,66,34,46,270,54.0
164,10165,Virat Phatak,Arunachal Pradesh,Aasam,89,65,75,32,41,302,60.4
165,10166,Abhi Vishwakarma,Chhattisgarh,Hyderabad,60,33,89,92,70,344,68.8
166,10167,Karam Sonkar,West Bengal,kolkata,43,57,38,52,82,272,54.4
167,10168,Onkar Seth,Karnataka,Banglore,48,47,80,31,62,268,53.6
168,10169,Puneeth Gupta,Manipur,Aasam,88,64,35,97,36,320,64.0
169,10170,Ram Maurya,Sikkim,Aasam,62,54,75,75,66,332,66.4
170,10171,Harsh Divedi,Madhya Pradesh,Mumbai,34,32,69,65,53,253,50.6
171,10172,Sukh Thakur,Karnataka,Banglore,74,45,69,54,57,299,59.8
172,10173,Sanoj Gupta,Arunachal Pradesh,Aasam,49,74,59,100,78,360,72.0
173,10174,Nikita Rao,Uttarakhand,Delhi,74,63,40,70,78,325,65.0
174,10175,Virat Vishwakarma,Madhya Pradesh,Mumbai,99,41,60,72,73,345,69.0
175,10176,Sarthak Maurrya,Himachal Pradesh,kolkata,52,43,99,31,48,273,54.6
176,10177,Nav Yadav,Uttar Pradesh,Delhi,92,93,64,86,50,385,77.0
177,10178,Roshan Thakur,Madhya Pradesh,Mumbai,50,48,36,97,89,320,64.0
178,10179,Mihir Maurya,Andhra Pradesh,Hyderabad,94,45,89,51,75,354,70.8
179,10180,Monika Triphati,Telangana,Aasam,80,54,95,84,31,344,68.8
180,10181,Gagan Singh,Uttar Pradesh,Delhi,36,98,35,70,50,289,57.8
181,10182,Nivedita Gupta,Odisha,Hyderabad,45,48,84,30,68,275,55.0
182,10183,Kirti Seth,Manipur,Aasam,92,54,69,36,98,349,69.8
183,10184,Siwangi Maurrya,Tamil Nadu,Chennai,84,30,44,45,91,294,58.8
184,10185,Mohit Vishwakarma,Kerala,Chennai,32,39,83,98,94,346,69.2
185,10186,Silam Triphati,Goa,Banglore,89,83,37,63,83,355,71.0
186,10187,Dul Divedi,Gujarat,Agra,58,31,91,61,79,320,64.0
187,10188,Rahul Pandey,Tamil Nadu,Chennai,93,82,71,99,100,445,89.0
188,10189,Himanshu Pandit,Goa,Banglore,90,77,54,58,91,370,74.0
189,10190,Jas Yadav,Gujarat,Agra,77,73,35,75,61,321,64.2
190,10191,Roshan Seth,Madhya Pradesh,Mumbai,66,50,46,45,90,297,59.4
191,10192,Rohit Pratap,Meghalaya,Aasam,52,70,50,53,30,255,51.0
192,10193,Nitya Divedi,Uttar Pradesh,Delhi,65,45,65,54,77,306,61.2
193,10194,Senthil Vishwakarma,Maharashtra,Mumbai,93,83,94,67,51,388,77.6
194,10195,Anushka Phatak,Uttarakhand,Delhi,76,84,35,99,60,354,70.8
195,10196,Ankit Triphati,Maharashtra,Mumbai,79,89,81,64,44,357,71.4
196,10197,Soham Singh,Madhya Pradesh,Mumbai,71,48,64,61,60,304,60.8
197,10198,Rudra Triphati,Jharkhand,kolkata,42,46,33,48,33,202,40.4
198,10199,Pradhi Rao,Tripura,Aasam,37,65,47,59,35,243,48.6
199,10200,Siwangi Yadav,Uttar Pradesh,Delhi,54,46,32,54,95,281,56.2
200,10201,Neha Pandit,Punjab,Agra,69,70,84,81,58,362,72.4
201,10202,Karam Mishra,Tamil Nadu,Chennai,52,53,50,100,94,349,69.8
202,10203,Tejas Rai,Gujarat,Agra,61,99,99,43,57,359,71.8
203,10204,Simran Tiwari,Chhattisgarh,Hyderabad,100,73,85,31,79,368,73.6
204,10205,Dharam Singh,Nagaland,Aasam,33,78,73,68,37,289,57.8
205,10206,Damini Devi,Goa,Banglore,35,31,34,86,82,268,53.6
206,10207,Pratyush Phatak,Bihar,kolkata,78,100,87,95,80,440,88.0
207,10208,Sanjana Rai,Uttar Pradesh,Delhi,93,59,71,82,35,340,68.0
208,10209,Tripti Rai,Chhattisgarh,Hyderabad,54,47,94,89,88,372,74.4
209,10210,Rohit Triphati,Madhya Pradesh,Mumbai,99,76,78,83,60,396,79.2
210,10211,Anupam Rai,Meghalaya,Aasam,99,63,39,59,37,297,59.4
211,10212,Adarsh Tiwari,Mizoram,Aasam,90,40,65,45,87,327,65.4
212,10213,Pallawi Rao,Telangana,Aasam,41,48,84,69,93,335,67.0
213,10214,Murat Rao,Gujarat,Agra,46,34,51,41,100,272,54.4
214,10215,Shantanu Rai,Arunachal Pradesh,Aasam,80,68,65,57,70,340,68.0
215,10216,Manisha Tiwari,Tripura,Aasam,42,45,40,74,61,262,52.4
216,10217,Jas Mishra,Telangana,Aasam,35,98,53,81,100,367,73.4
217,10218,Dil Phatak,Manipur,Aasam,30,36,45,74,47,232,46.4
218,10219,Shivani Pandey,Uttarakhand,Delhi,58,33,95,46,81,313,62.6
219,10220,Yash Maurya,Odisha,Hyderabad,44,31,59,48,95,277,55.4
220,10221,Seeta Singh,Manipur,Aasam,89,85,88,49,94,405,81.0
221,10222,Gopal Rai,Himachal Pradesh,kolkata,100,53,49,41,62,305,61.0
222,10223,Anushka Srivastav,Telangana,Aasam,85,94,69,58,91,397,79.4
223,10224,Priyanshi Divedi,Manipur,Aasam,60,33,71,100,57,321,64.2
224,10225,Mohit Divedi,Meghalaya,Aasam,97,38,88,44,35,302,60.4
225,10226,Siwangi Pandit,Telangana,Aasam,85,78,54,49,42,308,61.6
226,10227,Abhimanyu Pratap,Uttar Pradesh,Delhi,61,44,62,80,48,295,59.0
227,10228,Abhimanyu Phatak,Maharashtra,Mumbai,39,68,82,45,37,271,54.2
228,10229,Dev Rao,Andhra Pradesh,Hyderabad,81,69,55,54,35,294,58.8
229,10230,Abhi Divedi,Odisha,Hyderabad,72,52,36,51,81,292,58.4
230,10231,Dharmesh Pandit,Madhya Pradesh,Mumbai,62,32,87,34,69,284,56.8
231,10232,Raju Maurya,Chhattisgarh,Hyderabad,30,53,51,80,68,282,56.4
232,10233,Gopal Rao,Meghalaya,Aasam,40,36,41,49,85,251,50.2
233,10234,Siwangi Maurrya,Uttarakhand,Delhi,80,81,52,44,79,336,67.2
234,10235,Rupesh Maurya,Bihar,kolkata,36,81,53,90,74,334,66.8
235,10236,Tushar Yadav,Arunachal Pradesh,Aasam,69,39,63,100,99,370,74.0
236,10237,Devansh Singh,Rajasthan,Delhi,78,72,64,77,95,386,77.2
237,10238,Gaurav Srivastav,Goa,Banglore,33,79,50,56,62,280,56.0
238,10239,Nitya Thakur,Uttarakhand,Delhi,69,52,52,31,41,245,49.0
239,10240,Manish Singh,Goa,Banglore,72,68,48,62,65,315,63.0
240,10241,Vijay Singh,Telangana,Aasam,85,82,69,37,37,310,62.0
241,10242,Ritik Maurya,Madhya Pradesh,Mumbai,62,93,92,85,86,418,83.6
242,10243,Dal Rajput,Tripura,Aasam,81,100,42,75,76,374,74.8
243,10244,Sandesh Vishwakarma,Himachal Pradesh,kolkata,30,33,91,85,64,303,60.6
244,10245,Nagaraju Divedi,Madhya Pradesh,Mumbai,74,43,67,38,56,278,55.6
245,10246,Bavya Rao,Himachal Pradesh,kolkata,35,79,31,74,36,255,51.0
246,10247,Shivani Yadav,Madhya Pradesh,Mumbai,48,72,73,69,37,299,59.8
247,10248,Gagan Singh,Gujarat,Agra,40,68,40,63,88,299,59.8
248,10249,Priya Yadav,Chhattisgarh,Hyderabad,35,80,87,88,36,326,65.2
249,10250,Prajwal Triphati,Meghalaya,Aasam,35,52,75,64,74,300,60.0
250,10251,Shalani Rajput,Maharashtra,Mumbai,70,36,51,53,34,244,48.8
251,10252,Rudra Mishra,Bihar,kolkata,98,54,74,59,76,361,72.2
252,10253,Gopal Rai,Himachal Pradesh,kolkata,66,85,84,50,75,360,72.0
253,10254,Kishan Mishra,Andhra Pradesh,Hyderabad,33,40,52,86,66,277,55.4
254,10255,Aaroohi Kumari,Uttarakhand,Delhi,98,72,79,53,100,402,80.4
255,10256,Gouri Pandit,Mizoram,Aasam,90,55,31,89,36,301,60.2
256,10257,Prajwal Sonkar,Chhattisgarh,Hyderabad,100,49,35,53,91,328,65.6
257,10258,Anmol Rajput,Mizoram,Aasam,91,84,91,33,97,396,79.2
258,10259,Raju Mishra,Gujarat,Agra,78,40,60,44,79,301,60.2
259,10260,Devu Rao,Chhattisgarh,Hyderabad,64,75,96,64,33,332,66.4
260,10261,Kush Maurya,Telangana,Aasam,65,94,51,39,41,290,58.0
261,10262,Savita Seth,Gujarat,Agra,30,81,78,39,62,290,58.0
262,10263,Abhijeet Mishra,Manipur,Aasam,41,53,42,84,68,288,57.6
263,10264,Tejas Vishwakarma,Haryana,Delhi,30,48,44,67,96,285,57.0
264,10265,Siwangi Triphati,Goa,Banglore,93,42,92,59,74,360,72.0
265,10266,Monika Kumar,Jharkhand,kolkata,54,73,46,81,89,343,68.6
266,10267,Sandesh Gupta,Kerala,Chennai,98,35,87,67,39,326,65.2
267,10268,Om Maurya,Uttarakhand,Delhi,92,51,77,42,47,309,61.8
268,10269,Abhijeet Vishwakarma,Sikkim,Aasam,70,92,65,46,63,336,67.2
269,10270,Raju Phatak,Manipur,Aasam,35,82,38,70,67,292,58.4
270,10271,Aishwarya Devi,Uttar Pradesh,Delhi,58,38,56,55,33,240,48.0
271,10272,Ambika Rao,Rajasthan,Delhi,34,76,67,48,58,283,56.6
272,10273,Hari Triphati,Uttarakhand,Delhi,68,52,43,31,92,286,57.2
273,10274,Sanket Singh,Bihar,kolkata,99,52,58,50,70,329,65.8
274,10275,Varun Thakur,Chhattisgarh,Hyderabad,31,30,76,42,90,269,53.8
275,10276,Tushar Seth,Madhya Pradesh,Mumbai,45,56,68,97,92,358,71.6
276,10277,Deva Sonkar,Chhattisgarh,Hyderabad,77,81,86,39,55,338,67.6
277,10278,Gaurav Kumari,Karnataka,Banglore,41,63,54,52,49,259,51.8
278,10279,Rohit Rajput,Jharkhand,kolkata,37,80,93,78,58,346,69.2
279,10280,Abhijeet Singh,Andhra Pradesh,Hyderabad,68,71,93,81,56,369,73.8
280,10281,Anjali Thakur,Uttar Pradesh,Delhi,74,83,57,99,37,350,70.0
281,10282,Pratyush Phatak,Chhattisgarh,Hyderabad,32,32,55,78,35,232,46.4
282,10283,Udaya Rai,Odisha,Hyderabad,100,58,69,80,61,368,73.6
283,10284,Kirti Tiwari,Mizoram,Aasam,76,92,38,65,74,345,69.0
284,10285,Samraat Gupta,Telangana,Aasam,89,73,70,84,40,356,71.2
285,10286,Karam Mishra,Punjab,Agra,66,86,85,54,90,381,76.2
286,10287,Vaibhav Srivastav,Telangana,Aasam,43,35,50,56,84,268,53.6
287,10288,Deva Triphati,Madhya Pradesh,Mumbai,40,32,51,83,72,278,55.6
288,10289,Jaspreet Phatak,Karnataka,Banglore,79,96,34,63,85,357,71.4
289,10290,Devesh Tiwari,Uttar Pradesh,Delhi,46,74,83,38,44,285,57.0
290,10291,Radha Sonkar,Himachal Pradesh,kolkata,77,80,81,78,74,390,78.0
291,10292,Sweta Mishra,Chhattisgarh,Hyderabad,39,88,69,52,31,279,55.8
292,10293,Man Vishwakarma,Meghalaya,Aasam,91,85,39,49,34,298,59.6
293,10294,Abhishek Yadav,Haryana,Delhi,34,45,50,43,41,213,42.6
294,10295,Shruti Singh,Mizoram,Aasam,78,70,91,34,83,356,71.2
295,10296,Suyash Sonkar,Jharkhand,kolkata,36,78,43,37,87,281,56.2
296,10297,Sweta Pandey,Haryana,Delhi,43,78,58,76,53,308,61.6
297,10298,Kshitij Maurya,Uttar Pradesh,Delhi,71,55,89,65,96,376,75.2
298,10299,Shradha Divedi,Maharashtra,Mumbai,32,46,83,78,91,330,66.0
299,10300,Abhishek Mishra,Himachal Pradesh,kolkata,95,83,76,73,39,366,73.2
300,10301,Maan Tiwari,Kerala,Chennai,77,59,97,79,88,400,80.0
301,10302,Sanket Mishra,Odisha,Hyderabad,66,66,88,48,40,308,61.6
302,10303,Priti Devi,Manipur,Aasam,32,88,59,50,41,270,54.0
303,10304,Maan Gupta,Andhra Pradesh,Hyderabad,50,56,82,57,61,306,61.2
304,10305,Tanmay Sonkar,Haryana,Delhi,65,66,56,69,98,354,70.8
305,10306,Mony Yadav,Arunachal Pradesh,Aasam,72,76,69,71,48,336,67.2
306,10307,Param Tiwari,Goa,Banglore,77,100,46,84,99,406,81.2
307,10308,Neha Pratap,Chhattisgarh,Hyderabad,35,44,96,90,55,320,64.0
308,10309,Joohi Triphati,Andhra Pradesh,Hyderabad,41,51,49,53,56,250,50.0
309,10310,Tejas Kumar,Arunachal Pradesh,Aasam,62,50,79,53,64,308,61.6
310,10311,Aaroohi Thakur,Bihar,kolkata,72,89,46,88,41,336,67.2
311,10312,Gagan Mishra,Goa,Banglore,85,34,38,70,44,271,54.2
312,10313,Naveen Sonkar,Arunachal Pradesh,Aasam,68,46,96,34,70,314,62.8
313,10314,Namita Triphati,Punjab,Agra,86,85,97,60,89,417,83.4
314,10315,Komal Yadav,Kerala,Chennai,32,97,99,39,30,297,59.4
315,10316,Anamika Thakur,Jharkhand,kolkata,41,73,35,79,95,323,64.6
316,10317,Raju Pratap,Andhra Pradesh,Hyderabad,38,98,39,39,40,254,50.8
317,10318,Yashi Sonkar,Bihar,kolkata,79,84,51,89,58,361,72.2
318,10319,Bavya Rajput,Telangana,Aasam,83,41,73,71,95,363,72.6
319,10320,Harsh Singh,Sikkim,Aasam,82,52,76,72,61,343,68.6
320,10321,Shyama Pandey,Gujarat,Agra,60,74,32,98,69,333,66.6
321,10322,Dev Srivastav,Gujarat,Agra,63,60,49,94,47,313,62.6
322,10323,Silam Vishwakarma,Sikkim,Aasam,83,77,47,30,37,274,54.8
323,10324,Sukh Rao,Kerala,Chennai,61,40,86,35,39,261,52.2
324,10325,Suryansh Yadav,Sikkim,Aasam,56,66,50,60,80,312,62.4
325,10326,Prajwal Singh,Tamil Nadu,Chennai,82,60,49,37,76,304,60.8
